-0.0042497,0
0.047044,0.0046052
0.080869,0.0092103
0.12653,0.013816
0.17014,0.018421
0.18347,0.023026
0.22224,0.027631
0.26489,0.032236
0.30897,0.036841
0.34133,0.041447
0.36173,0.046052
0.41056,0.050657
0.43589,0.055262
0.44869,0.059867
0.50845,0.064472
0.49516,0.069078
0.5312,0.073683
0.54228,0.078288
0.54624,0.082893
0.60193,0.087498
0.59126,0.092103
0.62055,0.096709
0.65613,0.10131
0.65969,0.10592
0.67258,0.11052
0.68232,0.11513
0.70046,0.11973
0.7305,0.12434
0.71997,0.12894
0.73476,0.13355
0.74426,0.13816
0.756,0.14276
0.76919,0.14737
0.78741,0.15197
0.79195,0.15658
0.79287,0.16118
0.82597,0.16579
0.80933,0.17039
0.82292,0.175
0.83484,0.1796
0.82469,0.18421
0.83855,0.18881
0.84252,0.19342
0.83532,0.19802
0.8895,0.20263
0.8668,0.20723
0.88817,0.21184
0.88536,0.21644
0.88041,0.22105
0.89488,0.22565
0.90405,0.23026
0.89307,0.23486
0.92078,0.23947
0.92487,0.24407
0.91585,0.24868
0.92671,0.25328
0.91196,0.25789
0.93328,0.26249
0.92953,0.2671
0.95002,0.27171
0.92733,0.27631
0.95986,0.28092
0.94266,0.28552
0.9495,0.29013
0.96201,0.29473
0.96091,0.29934
0.94338,0.30394
0.94514,0.30855
0.9472,0.31315
0.96906,0.31776
0.95883,0.32236
0.95753,0.32697
0.96452,0.33157
0.97568,0.33618
0.9653,0.34078
0.97147,0.34539
0.94665,0.34999
0.96448,0.3546
0.96179,0.3592
0.96731,0.36381
0.96726,0.36841
0.97179,0.37302
0.97218,0.37762
0.9847,0.38223
0.99347,0.38683
0.9647,0.39144
0.99847,0.39604
0.99463,0.40065
0.98356,0.40525
0.99921,0.40986
0.9866,0.41447
0.97466,0.41907
0.99682,0.42368
1.0085,0.42828
0.97907,0.43289
0.9774,0.43749
0.99936,0.4421
0.98828,0.4467
0.9754,0.45131
1.0019,0.45591
0.98846,0.46052
0.9825,0.46512
0.98506,0.46973
0.98631,0.47433
1.0011,0.47894
0.9805,0.48354
0.99711,0.48815
1.0028,0.49275
0.98448,0.49736
0.99674,0.50196
0.97716,0.50657
1.0009,0.51117
0.98302,0.51578
1.0026,0.52038
0.99909,0.52499
0.99087,0.52959
0.98042,0.5342
1.0087,0.5388
0.99716,0.54341
1.0126,0.54802
0.9961,0.55262
0.97841,0.55723
1.0133,0.56183
0.99362,0.56644
1.0059,0.57104
0.98962,0.57565
1.0031,0.58025
1.0055,0.58486
1.0074,0.58946
1.0024,0.59407
0.99708,0.59867
0.99905,0.60328
1.0007,0.60788
0.99043,0.61249
1.0034,0.61709
0.98736,0.6217
0.97904,0.6263
0.99985,0.63091
1.0002,0.63551
1.0005,0.64012
1.0161,0.64472
1.0108,0.64933
1.0172,0.65393
1.0008,0.65854
1.0078,0.66314
0.99283,0.66775
0.99649,0.67235
0.98137,0.67696
0.9996,0.68157
1.0082,0.68617
0.98842,0.69078
0.99682,0.69538
0.99185,0.69999
0.99104,0.70459
1.0082,0.7092
0.99988,0.7138
1.0066,0.71841
1.0032,0.72301
1.0087,0.72762
0.97677,0.73222
0.98915,0.73683
0.99768,0.74143
1.0029,0.74604
1.0109,0.75064
0.99308,0.75525
0.99345,0.75985
0.99667,0.76446
1.0065,0.76906
1.0006,0.77367
1.0108,0.77827
0.99188,0.78288
1.0037,0.78748
1.0035,0.79209
0.98321,0.79669
1.0026,0.8013
1.0171,0.8059
0.98772,0.81051
0.99334,0.81512
0.98956,0.81972
1.011,0.82433
0.99418,0.82893
1.0073,0.83354
0.98332,0.83814
0.98156,0.84275
1.0098,0.84735
1.0057,0.85196
1.0026,0.85656
1.0095,0.86117
1.0005,0.86577
1.0012,0.87038
0.99109,0.87498
0.99994,0.87959
0.98885,0.88419
0.99095,0.8888
0.9951,0.8934
1.0013,0.89801
